"id","source","coin","satoshis","wei","usdt","timestamp"
218,0,"STRAT",59023,,,1508341060.89261
219,0,"VTC",29481,,,1508341060.89261
220,0,"DCR",499003,,,1508341060.89261
221,0,"NEOS",42544,,,1508341060.89261
222,0,"PPC",20726,,,1508341060.89261
223,0,"VIA",19823,,,1508341060.89261
224,0,"STEEM",19795,,,1508341060.89261
225,0,"BCY",4900,,,1508341060.89261
226,0,"SBD",18097,,,1508341060.89261
227,0,"GNO",1521047,,,1508341060.89261
228,0,"DOGE",19,,,1508341060.89261
229,0,"PINK",381,,,1508341060.89261
230,0,"RIC",750,,,1508341060.89261
231,0,"BLK",3173,,,1508341060.89261
232,0,"SYS",3489,,,1508341060.89261
233,0,"SJCX",8253,,,1508341060.89261
234,0,"HUC",1232,,,1508341060.89261
235,0,"LSK",91683,,,1508341060.89261
236,0,"CVC",5893,,,1508341060.89261
237,0,"RADS",68935,,,1508341060.89261
238,0,"SC",77,,,1508341060.89261
239,0,"FCT",305477,,,1508341060.89261
240,0,"ZRX",3952,,,1508341060.89261
241,0,"STR",704,,,1508341060.89261
242,0,"XBC",830240,,,1508341060.89261
243,0,"NOTE",697,,,1508341060.89261
244,0,"NXC",4542,,,1508341060.89261
245,0,"BCH",6015034,,,1508341060.89261
246,0,"XVC",4187,,,1508341060.89261
247,0,"GAME",36175,,,1508341060.89261
248,0,"ZEC",4179846,,,1508341060.89261
249,0,"XEM",4080,,,1508341060.89261
250,0,"XMR",1666321,,,1508341060.89261
251,0,"EMC2",1614,,,1508341060.89261
252,0,"REP",341889,,,1508341060.89261
253,0,"POT",1286,,,1508341060.89261
254,0,"NMC",20758,,,1508341060.89261
255,0,"FLDC",158,,,1508341060.89261
256,0,"BCN",25,,,1508341060.89261
257,0,"FLO",1248,,,1508341060.89261
258,0,"XPM",1950,,,1508341060.89261
259,0,"BELA",1825,,,1508341060.89261
260,0,"GAS",388223,,,1508341060.89261
261,0,"CLAM",72912,,,1508341060.89261
262,0,"OMG",148895,,,1508341060.89261
263,0,"LBC",3100,,,1508341060.89261
264,0,"PASC",4631,,,1508341060.89261
265,0,"GNT",3900,,,1508341060.89261
266,0,"OMNI",410052,,,1508341060.89261
267,0,"BURST",119,,,1508341060.89261
268,0,"VRC",5781,,,1508341060.89261
269,0,"GRC",602,,,1508341060.89261
270,0,"BTCD",1533000,,,1508341060.89261
271,0,"NAUT",1870,,,1508341060.89261
272,0,"ETC",208200,,,1508341060.89261
273,0,"BTS",1056,,,1508341060.89261
274,0,"DASH",5372903,,,1508341060.89261
275,0,"NAV",18900,,,1508341060.89261
276,0,"ARDR",4249,,,1508341060.89261
277,0,"LTC",1054097,,,1508341060.89261
278,0,"XCP",153092,,,1508341060.89261
279,0,"DGB",191,,,1508341060.89261
280,0,"AMP",2314,,,1508341060.89261
281,0,"BTC",100000000,,5249,1508341121.55545
282,0,"ETH",5699996,100000000,298.62000001,1508341121.55545
283,0,"NXT",1202,,,1508341121.55545
284,0,"BTM",8394,,,1508341121.55545
285,0,"MAID",7161,,,1508341121.55545
286,0,"XRP",4165,,,1508341121.55545
287,0,"EXP",32855,,,1508341121.55545
288,0,"STRAT",59024,,,1508341121.55545
289,0,"VTC",29481,,,1508341121.55545
290,0,"DCR",498998,,,1508341121.55545
291,0,"NEOS",42544,,,1508341121.55545
292,0,"PPC",20726,,,1508341121.55545
293,0,"VIA",19943,,,1508341121.55545
294,0,"STEEM",19795,,,1508341121.55545
295,0,"BCY",4900,,,1508341121.55545
296,0,"SBD",18097,,,1508341121.55545
297,0,"GNO",1521047,,,1508341121.55545
298,0,"DOGE",19,,,1508341121.55545
299,0,"PINK",383,,,1508341121.55545
300,0,"RIC",750,,,1508341121.55545
301,0,"BLK",3158,,,1508341121.55545
302,0,"SYS",3489,,,1508341121.55545
303,0,"SJCX",8253,,,1508341121.55545
304,0,"HUC",1232,,,1508341121.55545
305,0,"LSK",91685,,,1508341121.55545
306,0,"CVC",5893,,,1508341121.55545
307,0,"RADS",68935,,,1508341121.55545
308,0,"SC",78,,,1508341121.55545
